,id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references,decimalLongitude,decimalLatitude
545,7970311,NCU,,,PreservedSpecimen,dfd94835-f289-4249-a572-5c58d7100a0b,NCU00163818,150780,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Bell, Clyde Ritchie",,14922,9/8/58,1958.0,9.0,8.0,251.0,,,"Collected for the ""Flora of the Carolinas""",boggy area by farm pond,,,,,,,,sterile,,,,,,,United States,North Carolina,Catawba,,at Camp Creek about 4.5 miles west of Propst Crossroads,,0.0,,WGS84,1314.0,,"McCormick, Carol Ann",,GeoLocate,,= Camp Creek 4.5 mi W of Propst Crossroads,,,,,,,,en,wpmarinello,11/30/15 11:06,,206,urn:uuid:dfd94835-f289-4249-a572-5c58d7100a0b,http://sernecportal.org/portal/collections/individual/index.php?occid=7970311,-81.2144350695,35.6626381402
546,7970313,NCU,,,PreservedSpecimen,aaef05a0-8c86-43f5-9606-2a559a36a13c,NCU00163819,150774,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Bell, Clyde Ritchie",,6794,4/29/57,1957.0,4.0,29.0,119.0,,,"Collected for the ""Flora of the Carolinas""",Mixed hardwood forest on north slope,,,,,,,,sterile,,,,,,,United States,North Carolina,Catawba,,by Henry River at Brookford,,0.0,,WGS84,1218.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/30/15 11:03,,206,urn:uuid:aaef05a0-8c86-43f5-9606-2a559a36a13c,http://sernecportal.org/portal/collections/individual/index.php?occid=7970313,-81.2144350695,35.6626381402
547,7970314,NCU,,,PreservedSpecimen,9532053a-be4d-456a-bd4f-0b2c1c81f1a8,NCU00163820,150772,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Bell, Clyde Ritchie",,14023,7/29/58,1958.0,7.0,29.0,210.0,,,"Collected for the ""Flora of the Carolinas""",rich wooded bottomland and adjacent clearings,,,,,,,,sterile,,,,,,,United States,North Carolina,Caswell,,"Hogans Creek, 1.2 mile northwest of Bethel",,0.0,,WGS84,1261.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/30/15 10:58,,206,urn:uuid:9532053a-be4d-456a-bd4f-0b2c1c81f1a8,http://sernecportal.org/portal/collections/individual/index.php?occid=7970314,-79.3336503886,36.3933706571
548,7970329,NCU,,,PreservedSpecimen,661c6f51-f14e-48e3-8e0f-176d57d5bc24,NCU00163826,75334,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Boyd, W. R.","Boyd, W. G.",s.n.,10/20/16,1916.0,10.0,20.0,294.0,,,,,,,,,,,,,,,,,,,United States,North Carolina,Craven,,On Whitehurst Estate 3 mi. E of New Bern,,0.0,,WGS84,11040.0,,"McCormick, Carol Ann",,GeoLocate,,= 3 mi due E of New Bern,,,,,,,,en,wpmarinello,11/30/15 12:21,,206,urn:uuid:661c6f51-f14e-48e3-8e0f-176d57d5bc24,http://sernecportal.org/portal/collections/individual/index.php?occid=7970329,-77.096945918,35.1262176521
549,7970346,NCU,,,PreservedSpecimen,ae6520a4-4232-4f9c-ae0c-c8d9f020ef58,NCU00005634,150783,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Seiberling, Stephen M.",3/15/01,,Specimen image captured for North Carolina Botanical Information Network (BOTNET),,,,"Radford, A. E.",,14752,8/3/56,1956.0,8.0,3.0,216.0,,,"Collected for the ""Flora of the Carolinas""",mix deciduous forest,,,,,,,,fruiting,,,,,,,United States,North Carolina,Davie,,Yadkin River near U.S. 64 east of Mocksville,,0.0,,WGS84,696.0,,"McCormick, Carol Ann",,GeoLocate,,= US 64 at Yadkin River (Davie County side of river),,,,,,,,en,wpmarinello,11/30/15 13:08,,206,urn:uuid:ae6520a4-4232-4f9c-ae0c-c8d9f020ef58,http://sernecportal.org/portal/collections/individual/index.php?occid=7970346,-80.5445875657,35.9292333744
550,7970349,NCU,,,PreservedSpecimen,856cbb4b-2552-44fc-8e23-1b9418bcfbbf,NCU00163834,150785,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ahles, Harry E.","Leisner, R. S.",20493,10/5/56,1956.0,10.0,5.0,279.0,,,"Collected for the ""Flora of the Carolinas""",frequent in wooded ravine,,,,,,,,fruiting,,,,,,,United States,North Carolina,Franklin,,0.6 miles west of Franklinton on NC. Rt. 56,,0.0,,WGS84,519.0,,"McCormick, Carol Ann",,GeoLocate,,= 0.6 mi W Franklinton on NC Rt 56,,,,,,,,en,wpmarinello,11/30/15 13:24,,206,urn:uuid:856cbb4b-2552-44fc-8e23-1b9418bcfbbf,http://sernecportal.org/portal/collections/individual/index.php?occid=7970349,-78.2856640779,36.082744862
551,7970351,NCU,,,PreservedSpecimen,5f0570d6-bfee-403e-9c68-a1c120baf106,NCU00163835,187114,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Totten, H. R.","Radford, A. E.; Melvin, Lionel",s.n.,5/7/55,1955.0,5.0,7.0,127.0,,,,abundant,,,,,,,,flowering,,,,,,,United States,North Carolina,Forsyth,,"along Belews Creek, northeastern section of the county",,0.0,,WGS84,3036.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/30/15 13:27,,206,urn:uuid:5f0570d6-bfee-403e-9c68-a1c120baf106,http://sernecportal.org/portal/collections/individual/index.php?occid=7970351,-80.2562542538,36.1304357624
552,7970354,NCU,,,PreservedSpecimen,5282a2ec-6387-4de6-b3cf-1c621aab2279,NCU00163836,150784,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ahles, Harry E.","Britt, R.",40779,5/17/58,1958.0,5.0,17.0,137.0,,,"Collected for the ""Flora of the Carolinas""",wooded slope of creek,,,,,,,,sterile,,,,,,,United States,North Carolina,Forsyth,,"Belews Creek, 0.3 mile east of town of Belews Creek",,0.0,,WGS84,441.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/30/15 13:32,,206,urn:uuid:5282a2ec-6387-4de6-b3cf-1c621aab2279,http://sernecportal.org/portal/collections/individual/index.php?occid=7970354,-80.2562542538,36.1304357624
553,7970355,NCU,,,PreservedSpecimen,d1fe914f-c530-486b-a2d7-330bf0bc74aa,NCU00005633,325392,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Seiberling, Stephen M.",3/15/01,,Specimen image captured for North Carolina Botanical Information Network (BOTNET),,,,"Wyatt, R. L.",,847,5/15/68,1968.0,5.0,15.0,136.0,,5/15/68,Plants of the Southeastern United States,Rich low deciduous woods,,,,,,,,flowering,,,,,,,United States,North Carolina,Forsyth,,"Oldtown Road, Winston Salem",,0.0,,WGS84,378.0,,"McCormick, Carol Ann",,GeoLocate,,~ midpoint of Oldtown Road,,,,,,,,en,wpmarinello,11/30/15 13:36,,206,urn:uuid:d1fe914f-c530-486b-a2d7-330bf0bc74aa,http://sernecportal.org/portal/collections/individual/index.php?occid=7970355,-80.2562542538,36.1304357624
554,7970377,NCU,,,PreservedSpecimen,baddaf1f-dff6-41eb-976b-2a1e97879c50,NCU00163850,150792,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Houck, Duane Francis",,560,8/9/55,1955.0,8.0,9.0,221.0,,,FLORA OF DEEP RIVER BASIN,Alluvial woods in wide creek bottom.,,,,,,,,fruiting,,,,,,,United States,North Carolina,Lee,,"FLORA OF DEEP RIVER BASIN East side of Big Buffalo Creek, by wooden bridge near Pattersons Cafe.",,0.0,,WGS84,1742.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/29/16 13:27,,206,urn:uuid:baddaf1f-dff6-41eb-976b-2a1e97879c50,http://sernecportal.org/portal/collections/individual/index.php?occid=7970377,-79.1715914074,35.4750220668
555,7970380,NCU,,,PreservedSpecimen,930c667f-e0f7-4a06-8573-deec1313e7b5,NCU00163852,150794,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Radford, A. E.",,35275,6/16/58,1958.0,6.0,16.0,167.0,,,"Collected for the ""Flora of the Carolinas""",Mixed deciduous forest,,,,,,,,fruiting,,,,,,,United States,North Carolina,Martin,,near Conoho Creek 4.3 miles nw. of Williamston,,0.0,,WGS84,5503.0,,"McCormick, Carol Ann",,GeoLocate,,= 4.3 mi nw of Williamston on Conoho Creek,,,,,,,,en,wpmarinello,11/30/15 15:23,,206,urn:uuid:930c667f-e0f7-4a06-8573-deec1313e7b5,http://sernecportal.org/portal/collections/individual/index.php?occid=7970380,-77.1071813445,35.841623723
556,7970384,NCU,,,PreservedSpecimen,903bc30f-74cb-41e9-ae46-7a06aade4eb1,NCU00163855,75333,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Holmes, John Simcox",,s.n.,9/10/17,1917.0,9.0,10.0,253.0,,Sept 10/17,,,,,,,,,,,,,,,,,United States,North Carolina,Montgomery,,Little River near Steed [sic; Steeds],,0.0,,WGS84,3036.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,11/30/15 15:48,,206,urn:uuid:903bc30f-74cb-41e9-ae46-7a06aade4eb1,http://sernecportal.org/portal/collections/individual/index.php?occid=7970384,-79.9054339351,35.3324045758
557,7970386,NCU,,,PreservedSpecimen,4cd9841e-1dd1-4109-bdc6-b8b39635683b,NCU00163856,150796,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ahles, Harry E.","Haesloop, John G.",28307,6/14/57,1957.0,6.0,14.0,165.0,,,"Collected for the ""Flora of the Carolinas""",low woods,,,,,,,,fruiting,,,,,,,United States,North Carolina,Onslow,,6 miles west northwest of Silverdale (about 4 miles north northeast of Midway Park),,0.0,,WGS84,3036.0,,"McCormick, Carol Ann",,GeoLocate,,~ 6 mi wnw of Silverdale & ~ 4 mi nne of Midway Park,,,,,,,,en,wpmarinello,11/30/15 16:01,,206,urn:uuid:4cd9841e-1dd1-4109-bdc6-b8b39635683b,http://sernecportal.org/portal/collections/individual/index.php?occid=7970386,-77.4341546388,34.7374211158
558,7970387,NCU,,,PreservedSpecimen,79ae3261-e37e-4f79-a54b-d246f25316a1,NCU00163857,150797,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ahles, Harry E.","Haesloop, John G.",28307,6/14/57,1957.0,6.0,14.0,165.0,,,"Collected for the ""Flora of the Carolinas""",low woods,,,,,,,,sterile,,,,,,,United States,North Carolina,Onslow,,6 miles west northwest of Silverdale (about 4 miles north northeast of Midway Park),,0.0,,WGS84,3036.0,,"McCormick, Carol Ann",,,,~ 6 mi wnw of Silverdale & ~ 4 mi nne of Midway Park,,,,,,,,en,wpmarinello,11/30/15 16:06,,206,urn:uuid:79ae3261-e37e-4f79-a54b-d246f25316a1,http://sernecportal.org/portal/collections/individual/index.php?occid=7970387,-77.4341546388,34.7374211158
559,7970389,NCU,,,PreservedSpecimen,c63de62a-69fb-4569-a319-7e2a9fa64b9f,NCU00163858,50716,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Radford, A. E.",,5661,4/29/51,1951.0,4.0,29.0,119.0,,,,,,,,,,,,flowering,,,,,,,United States,North Carolina,Onslow,,Bank of White Oak River near US 17,,0.0,,WGS84,1355.0,,"McCormick, Carol Ann",,GeoLocate,,= US 17 at White Oak River,,,,,,,,en,wpmarinello,11/30/15 16:10,,206,urn:uuid:c63de62a-69fb-4569-a319-7e2a9fa64b9f,http://sernecportal.org/portal/collections/individual/index.php?occid=7970389,-77.4341546388,34.7374211158
560,7970390,NCU,,,PreservedSpecimen,a6590e10-fefd-4b43-80cc-5361444422bb,NCU00163859,75323,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ashe, William Willard",,s.n.,10/31/28,1928.0,10.0,31.0,305.0,,10/31/28,,,,,,,,,,sterile,,,,,,,United States,North Carolina,Onslow,,Near Swansboro,,0.0,,WGS84,2133.0,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,wpmarinello,6/8/18 10:40,,206,urn:uuid:a6590e10-fefd-4b43-80cc-5361444422bb,http://sernecportal.org/portal/collections/individual/index.php?occid=7970390,-77.4341546388,34.7374211158
561,7970427,NCU,,,PreservedSpecimen,85af50da-861b-4cf0-90d0-34e8e0d31419,NCU00078037,150798,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia umbrella,90977,(L.) L.,Magnolia,umbrella,,,"Tobe, John David",1992-11-00,,section: Rhytidospermum Spach; Clemson University (CLEMS),,,,"Ahles, Harry E.","Ashworth, R. P.",39919,5/9/58,1958.0,5.0,9.0,129.0,,,"Collected for the ""Flora of the Carolinas""",woodland border,,,,,,,,flowering,,,,,,,United States,North Carolina,Perquimans,,3.2 miles northwest of Winfall,,0.0,,WGS84,3584.0,,"McCormick, Carol Ann",,GeoLocate,,= 3.2 mi NW of Winfall,,,,,,,,en,wpmarinello,12/1/15 14:44,,206,urn:uuid:85af50da-861b-4cf0-90d0-34e8e0d31419,http://sernecportal.org/portal/collections/individual/index.php?occid=7970427,-76.3486664317,36.1409467288
