id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
8533448,NCU,,,PreservedSpecimen,02628144-efa4-456d-a12f-eb06094d9d78,NCU00076695,186314,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Berkeley,,,,,,33.19784471,-79.95075816,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:02628144-efa4-456d-a12f-eb06094d9d78,http://sernecportal.org/portal/collections/individual/index.php?occid=8533448
8533452,NCU,,,PreservedSpecimen,6e7d165b-7969-4496-b6d1-378bf84f488f,NCU00032831,573261,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Berkeley,,,,,,33.19784471,-79.95075816,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:6e7d165b-7969-4496-b6d1-378bf84f488f,http://sernecportal.org/portal/collections/individual/index.php?occid=8533452
8533453,NCU,,,PreservedSpecimen,4e3f0245-b02d-4409-bde1-415d4812fd6e,NCU00031010,573328,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Berkeley,,,,,,33.19784471,-79.95075816,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:4e3f0245-b02d-4409-bde1-415d4812fd6e,http://sernecportal.org/portal/collections/individual/index.php?occid=8533453
8533466,NCU,,,PreservedSpecimen,1f8afa64-1785-43d7-a9d7-db7d7d8743bf,NCU00076696,149412,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Calhoun,,,,,,33.67485845,-80.78021644,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:1f8afa64-1785-43d7-a9d7-db7d7d8743bf,http://sernecportal.org/portal/collections/individual/index.php?occid=8533466
8533468,NCU,,,PreservedSpecimen,7e7e8be1-b775-459f-b27d-0c236dcceff7,NCU00076697,184062,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Charleston,,,,,,32.67137586,-80.18308296,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:7e7e8be1-b775-459f-b27d-0c236dcceff7,http://sernecportal.org/portal/collections/individual/index.php?occid=8533468
8533470,NCU,,,PreservedSpecimen,474e0ffe-ffed-4747-99a5-c7c17ff29978,NCU00076698,149410,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Cherokee,,,,,,35.04817698,-81.62040411,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:474e0ffe-ffed-4747-99a5-c7c17ff29978,http://sernecportal.org/portal/collections/individual/index.php?occid=8533470
8533475,NCU,,,PreservedSpecimen,cda2e7ad-efbf-4f47-b6f5-894ad8a9e0b4,NCU00040898,573875,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Chesterfield,,,,,,34.63974892,-80.15864968,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:cda2e7ad-efbf-4f47-b6f5-894ad8a9e0b4,http://sernecportal.org/portal/collections/individual/index.php?occid=8533475
8533477,NCU,,,PreservedSpecimen,4b844764-ad5e-451a-9adb-d22de2e7be1a,NCU00076699,149783,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Chesterfield,,,,,,34.63974892,-80.15864968,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:4b844764-ad5e-451a-9adb-d22de2e7be1a,http://sernecportal.org/portal/collections/individual/index.php?occid=8533477
8533481,NCU,,,PreservedSpecimen,4167627d-0ae7-46b1-ab51-e135672a5c16,NCU00076700,16614,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Darlington,,,,,,34.3323501,-79.95770818,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:4167627d-0ae7-46b1-ab51-e135672a5c16,http://sernecportal.org/portal/collections/individual/index.php?occid=8533481
8533488,NCU,,,PreservedSpecimen,1010762f-86f6-4874-9ddf-bda24cefee05,NCU00076420,16610,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Darlington,,,,,,34.3323501,-79.95770818,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:1010762f-86f6-4874-9ddf-bda24cefee05,http://sernecportal.org/portal/collections/individual/index.php?occid=8533488
8533491,NCU,,,PreservedSpecimen,931f2139-dadc-4c98-a0c1-3bcfe34f5cf0,NCU00076421,149841,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Dillon,,,,,,34.39153336,-79.37889566,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:931f2139-dadc-4c98-a0c1-3bcfe34f5cf0,http://sernecportal.org/portal/collections/individual/index.php?occid=8533491
8533493,NCU,,,PreservedSpecimen,35f65cfb-150b-4c72-b53c-79de293d8a5c,NCU00076422,234522,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Dorchester,,,,,,33.07947344,-80.40524064,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:35f65cfb-150b-4c72-b53c-79de293d8a5c,http://sernecportal.org/portal/collections/individual/index.php?occid=8533493
8533497,NCU,,,PreservedSpecimen,bef83ed6-c8ff-408b-a0a0-103b307b4034,NCU00076423,149842,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Edgefield,,,,,,33.77230036,-81.96655821,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:bef83ed6-c8ff-408b-a0a0-103b307b4034,http://sernecportal.org/portal/collections/individual/index.php?occid=8533497
8533498,NCU,,,PreservedSpecimen,338bd7e1-b746-460b-92e0-837833436339,NCU00076424,149849,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Georgetown,,,,,,33.2833551,-79.23533775,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:338bd7e1-b746-460b-92e0-837833436339,http://sernecportal.org/portal/collections/individual/index.php?occid=8533498
8533502,NCU,,,PreservedSpecimen,4f948e91-42f7-4ff5-a889-875aa55ea11c,NCU00076425,149846,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Greenwood,,,,,,34.15383046,-82.12589781,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:4f948e91-42f7-4ff5-a889-875aa55ea11c,http://sernecportal.org/portal/collections/individual/index.php?occid=8533502
8533504,NCU,,,PreservedSpecimen,c53a372d-671b-469a-a738-c0dbad019b69,NCU00076426,149424,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Horry,,,,,,33.9215361,-78.99662622,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:c53a372d-671b-469a-a738-c0dbad019b69,http://sernecportal.org/portal/collections/individual/index.php?occid=8533504
8533507,NCU,,,PreservedSpecimen,443c120d-8a1e-484c-a0a9-1d36cc7dcf63,NCU00076427,88431,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Jasper,,,,,,32.43709066,-81.03211789,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:443c120d-8a1e-484c-a0a9-1d36cc7dcf63,http://sernecportal.org/portal/collections/individual/index.php?occid=8533507
