STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
CT,BOX,Windham,09015,E,nn,-71.98754388470,41.82995735760
MA,BOX,Nantucket,25019,E,se,-70.07443841820,41.27808000560
MD,PBZ,Garrett,24023,E,ww,-79.27385644380,39.52860715860
VT,BTV,Windsor,50027,E,ss,-72.58546641140,43.57981438920
NH,GYX,Sullivan,33019,E,cc,-72.22233988550,43.36123396040
NH,GYX,Belknap,33001,E,cc,-71.42329371010,43.51875327240
NH,GYX,Cheshire,33005,E,ss,-72.25117436980,42.91932131310
NH,GYX,Strafford,33017,E,cc,-71.02932517540,43.29747068350
NY,BGM,Yates,36123,E,cc,-77.10545759370,42.63346792690
NY,BUF,Allegany,36003,E,ww,-78.02757860190,42.25741030860
NY,BGM,Broome,36007,E,cc,-75.81961529280,42.16022484560
NY,BUF,Cattaraugus,36009,E,ww,-78.67891140950,42.24859645530
NY,BGM,Chemung,36015,E,cc,-76.76001506620,42.14125870220
NY,BGM,Chenango,36017,E,cc,-75.61154476610,42.49355716250
NY,BGM,Cortland,36023,E,cc,-76.07024343780,42.59501225100
NY,BGM,Delaware,36025,E,cc,-74.96645027720,42.19820086490
NY,BUF,Genesee,36037,E,ww,-78.19364137610,43.00097102180
NY,ALY,Hamilton,36041,E,ee,-74.49734946570,43.66113534640
NY,BUF,Lewis,36049,E,cc,-75.44876414770,43.78471727520
NY,BUF,Livingston,36051,E,ww,-77.77543988210,42.72805417090
NY,BGM,Madison,36053,E,cc,-75.66974118730,42.91287301370
NY,ALY,Montgomery,36057,E,ee,-74.43969761570,42.90230828210
NY,BGM,Onondaga,36067,E,cc,-76.19464549110,43.00578436170
NY,BUF,Ontario,36069,E,ww,-77.29982681750,42.85288619730
NY,OKX,Orange,36071,E,se,-74.30563675380,41.40223122470
NY,BGM,Otsego,36077,E,cc,-75.03263301440,42.63383250570
NY,OKX,Putnam,36079,E,se,-73.74953845220,41.42665982460
NY,OKX,Rockland,36087,E,se,-74.02408070690,41.15294073070
NY,ALY,Schoharie,36095,E,ec,-74.44210594560,42.58823392850
NY,BGM,Schuyler,36097,E,cc,-76.87522004540,42.39378312180
NY,BGM,Seneca,36099,E,cc,-76.82374474250,42.78102040220
NY,BGM,Steuben,36101,E,cc,-77.38378883350,42.26782480410
NY,BGM,Sullivan,36105,E,cc,-74.76811735940,41.71641097010
NY,BGM,Tioga,36107,E,cc,-76.30630041360,42.17026045200
NY,BGM,Tompkins,36109,E,cc,-76.47366759910,42.45201557950
NY,BUF,Wyoming,36121,E,ww,-78.22448997930,42.70233051900
PA,CTP,Adams,42001,E,sc,-77.21790832330,39.87151048200
PA,PBZ,Allegheny,42003,E,sw,-79.98120778120,40.46884158450
PA,PBZ,Armstrong,42005,E,wc,-79.46451426620,40.81246244930
PA,PBZ,Beaver,42007,E,ww,-80.34933240820,40.68227052240
PA,CTP,Bedford,42009,E,sc,-78.49016110640,40.00658958460
PA,CTP,Blair,42013,E,cc,-78.34860155170,40.48126539280
PA,BGM,Bradford,42015,E,ne,-76.51566819270,41.78861729260
PA,PBZ,Butler,42019,E,wc,-79.91299144620,40.91171555300
PA,CTP,Cambria,42021,E,cc,-78.71357155710,40.49540858100
PA,CTP,Cameron,42023,E,nc,-78.20382458080,41.43677929950
PA,PBZ,Clarion,42031,E,wc,-79.42099396710,41.19251707240
PA,CTP,Clearfield,42033,E,cc,-78.47410933360,41.00023095530
PA,CTP,Columbia,42037,E,cc,-76.40518094660,41.04862586310
PA,CLE,Crawford,42039,E,nw,-80.10628735210,41.68475447340
PA,CTP,Cumberland,42041,E,sc,-77.26509460600,40.16374376580
PA,CTP,Dauphin,42043,E,sc,-76.77924900910,40.41551999780
PA,CTP,Elk,42047,E,nc,-78.64920284990,41.42525158190
PA,PBZ,Forest,42053,E,nw,-79.23606797560,41.51320336120
PA,CTP,Franklin,42055,E,sc,-77.72118751050,39.92746868580
PA,CTP,Fulton,42057,E,sc,-78.11239683290,39.92545091640
PA,PBZ,Greene,42059,E,sw,-80.22288476250,39.85381082730
PA,CTP,Huntingdon,42061,E,cc,-77.98123610030,40.41701132720
PA,PBZ,Indiana,42063,E,wc,-79.08754875780,40.65208677190
PA,PBZ,Jefferson,42065,E,wc,-78.99945182960,41.12812720730
PA,CTP,Juniata,42067,E,cc,-77.40201924410,40.53114317450
PA,BGM,Lackawanna,42069,E,ne,-75.60916264570,41.43704517850
PA,CTP,Lancaster,42071,E,sc,-76.24773070020,40.04237118950
PA,PBZ,Lawrence,42073,E,ww,-80.33422543560,40.99120274830
PA,CTP,Lebanon,42075,E,sc,-76.45768598180,40.36723937750
PA,BGM,Luzerne,42079,E,ne,-75.98886556740,41.17715044610
PA,CTP,McKean,42083,E,nc,-78.56900675390,41.80776368120
PA,PBZ,Mercer,42085,E,nw,-80.25771479290,41.30217743440
PA,CTP,Mifflin,42087,E,cc,-77.61707072430,40.61038429630
PA,CTP,Montour,42093,E,cc,-76.65860388350,41.02798811120
PA,CTP,Perry,42099,E,sc,-77.26219956040,40.39844229870
PA,BGM,Pike,42103,E,ne,-75.03375005480,41.33207460350
PA,CTP,Potter,42105,E,nc,-77.89584747140,41.74496701420
PA,CTP,Schuylkill,42107,E,cc,-76.21597437990,40.70586365620
PA,CTP,Snyder,42109,E,cc,-77.07013704410,40.76996870340
PA,CTP,Somerset,42111,E,sc,-79.02829046630,39.97248646400
PA,CTP,Sullivan,42113,E,nc,-76.51191454310,41.44598676190
PA,BGM,Susquehanna,42115,E,ne,-75.80084086410,41.82138075310
PA,CTP,Tioga,42117,E,nc,-77.25430805580,41.77206980030
PA,CTP,Union,42119,E,cc,-77.06207858100,40.96297746900
PA,PBZ,Venango,42121,E,nw,-79.75797036190,41.40097105510
PA,CTP,Warren,42123,E,nc,-79.27413738680,41.81471973680
PA,PBZ,Washington,42125,E,sw,-80.24823777020,40.18942409750
PA,BGM,Wyoming,42131,E,ne,-76.01650814040,41.51841008420
PA,CTP,York,42133,E,sc,-76.72650916170,39.91992704780
RI,BOX,Newport,44005,E,,-71.23658595920,41.55599379070
VA,RNK,Patrick,51141,E,sw,-80.28433981940,36.67835574780
VA,RNK,Pittsylvania,51143,E,sc,-79.39711910050,36.82132162770
VA,RNK,Pulaski,51155,E,sw,-80.71430669720,37.06362651450
VA,RNK,Roanoke,51161,E,wc,-80.06790871550,37.26934349270
VA,RNK,Rockbridge,51163,E,wc,-79.44753841620,37.81463143800
VA,MRX,Russell,51167,E,sw,-82.09561279860,36.93377361410
VA,MRX,Scott,51169,E,sw,-82.60297594110,36.71421501280
VA,RNK,Smyth,51173,E,sw,-81.53695245300,36.84386510720
VA,RNK,Tazewell,51185,E,sw,-81.56064121430,37.12496455280
VA,MRX,Washington,51191,E,sw,-81.95959047280,36.72450824190
VA,MRX,Wise,51195,E,sw,-82.62122514040,36.97525275340
VA,RNK,Wythe,51197,E,sw,-81.07859277260,36.91713187480
VA,RNK,Alleghany,51005,E,wc,-80.00696453610,37.78763579940
VA,RNK,Carroll,51035,E,sw,-80.73389089630,36.73154491350
VA,RNK,Campbell,51031,E,cc,-79.09633977820,37.20563315420
VA,RNK,Henry,51089,E,sc,-79.87393407540,36.68276727540
VA,RNK,Montgomery,51121,E,sw,-80.38693373320,37.17403726460
VA,RNK,Halifax,51083,E,sc,-78.93666243520,36.76697519540
VA,RNK,Grayson,51077,E,sw,-81.22495208940,36.65660184220
VA,RNK,Giles,51071,E,sw,-80.70369037660,37.31406088290
VA,RNK,Franklin,51067,E,wc,-79.88104196330,36.99195238040
VA,RNK,Floyd,51063,E,sw,-80.36256674400,36.93149667020
VA,RLX,Dickenson,51051,E,sw,-82.35033291960,37.12576025320
VA,RNK,Craig,51045,E,sw,-80.21234921820,37.48126381420
VA,RNK,Charlotte,51037,E,sc,-78.66162467960,37.01159263420
VA,RNK,Buckingham,51029,E,cc,-78.52868939380,37.57219999370
VA,RLX,Buchanan,51027,E,sw,-82.03600649780,37.26663767950
VA,RNK,Botetourt,51023,E,wc,-79.81229357950,37.55713519090
VA,RNK,Bland,51021,E,sw,-81.13021441440,37.13398777080
VA,RNK,Bedford,51019,E,sc,-79.52417805940,37.31516367040
VA,RNK,Bath,51017,E,wc,-79.74105258520,38.05870666410
VA,RNK,Appomattox,51011,E,cc,-78.81211753010,37.37224082040
VA,RNK,Amherst,51009,E,cc,-79.14510562880,37.60482265650
VA,MRX,Lee,51105,E,sw,-83.12848820880,36.70546078880
VT,BTV,Lamoille,50015,E,nw,-72.64139410920,44.60573443070
VT,BTV,Orange,50017,E,cc,-72.37693489190,44.00564365460
VT,ALY,Bennington,50003,E,ss,-73.09292671580,43.03547030910
VT,BTV,Orleans,50019,E,ne,-72.24382661100,44.82877453970
VT,BTV,Washington,50023,E,cc,-72.61492915050,44.27343299860
VT,BTV,Grand Isle,50013,E,nw,-73.29483252850,44.79680192290
WV,RLX,Raleigh,54081,E,se,-81.24859974640,37.77136484820
WV,RLX,Putnam,54079,E,ww,-81.90896516840,38.50863952610
WV,PBZ,Preston,54077,E,ne,-79.66813729420,39.46928235040
WV,RLX,Pocahontas,54075,E,ne,-80.00773967780,38.33179875330
WV,RLX,Pleasants,54073,E,nw,-81.16062944400,39.37092477630
WV,PBZ,Ohio,54069,E,nn,-80.61892561660,40.09691695760
WV,RLX,Nicholas,54067,E,se,-80.79927724920,38.29171010680
WV,RNK,Monroe,54063,E,se,-80.55053794990,37.56040282240
WV,PBZ,Monongalia,54061,E,nn,-80.04650807020,39.63028078100
WV,RLX,Mingo,54059,E,ss,-82.13458885250,37.72642369120
WV,RNK,Mercer,54055,E,se,-81.11143335710,37.40550625500
WV,RLX,Mason,54053,E,ww,-82.02651895130,38.76975726660
WV,PBZ,Marshall,54051,E,nn,-80.66339478610,39.86061950490
WV,PBZ,Marion,54049,E,nn,-80.24340751020,39.50999774130
WV,RLX,McDowell,54047,E,ss,-81.65357037850,37.37850738910
WV,RLX,Logan,54045,E,ss,-81.93528821820,37.83155648340
WV,RLX,Lincoln,54043,E,cc,-82.07050981250,38.17534038140
WV,RLX,Kanawha,54039,E,cc,-81.52806646500,38.33654615860
WV,RLX,Jackson,54035,E,nw,-81.67480241740,38.83444920850
WV,PBZ,Hancock,54029,E,nn,-80.57393557360,40.52134623010
WV,RNK,Greenbrier,54025,E,se,-80.45293826250,37.94693216310
WV,RLX,Randolph,54083,E,ne,-79.87583488180,38.77473539260
WV,RLX,Gilmer,54021,E,nc,-80.85709427640,38.92409413190
WV,RLX,Fayette,54019,E,se,-81.08114533500,38.02877037140
WV,RLX,Clay,54015,E,nc,-81.07504904130,38.46256842860
WV,RLX,Calhoun,54013,E,nc,-81.11754739660,38.84452005070
WV,RLX,Cabell,54011,E,cc,-82.24171522350,38.42028522470
WV,PBZ,Brooke,54009,E,nn,-80.57646714510,40.27334077720
WV,RLX,Braxton,54007,E,nc,-80.71933229700,38.69984714120
WV,RLX,Boone,54005,E,cc,-81.71125556370,38.02306270320
WV,PBZ,Wetzel,54103,E,nn,-80.63909762720,39.60526717570
WV,RLX,Wirt,54105,E,nw,-81.37860182350,39.02241341480
WV,RLX,Wood,54107,E,nw,-81.51501918270,39.21111038750
WV,RLX,Wyoming,54109,E,ss,-81.54912552240,37.60964329760
WV,RLX,Barbour,54001,E,ne,-80.00301313930,39.13293313390
WV,RLX,Taylor,54091,E,nn,-80.04614551640,39.33599713640
WV,RLX,Webster,54101,E,ne,-80.42187042420,38.49470857240
WV,RLX,Wayne,54099,E,ww,-82.42702214710,38.14613625360
WV,RLX,Upshur,54097,E,ne,-80.23340909140,38.89784322580
WV,RLX,Tyler,54095,E,nn,-80.88485467220,39.46525197480
WV,PBZ,Tucker,54093,E,ne,-79.56496268550,39.11359060960
WV,RNK,Summers,54089,E,se,-80.85856212180,37.65586229060
WV,RLX,Roane,54087,E,cc,-81.34832326490,38.71401475800
WV,RLX,Ritchie,54085,E,nw,-81.06289257140,39.17829181620
PA,CTP,Northumberland,42097,E,cc,-76.70910153990,40.85203668570
ME,GYX,Androscoggin,23001,E,sw,-70.20453775130,44.16542530040
NJ,OKX,Hudson,34017,E,ne,-74.08262660260,40.70668659580
NY,OKX,Richmond,36085,E,se,-74.15569164300,40.58021418350
NJ,OKX,Essex,34013,E,ne,-74.12934680740,40.69001699590
NY,OKX,Richmond,36085,E,se,-74.13435322560,40.64346364390
NJ,OKX,Hudson,34017,E,ne,-74.07779196410,40.74090432730
NJ,OKX,Bergen,34003,E,ne,-73.93434640230,40.90014568060
NY,OKX,Westchester,36119,E,se,-73.89977671560,40.96012090280
NY,OKX,Bronx,36005,E,se,-73.86692832940,40.85264469180
NY,OKX,New York,36061,E,se,-73.96892641890,40.77864451220
NY,OKX,Bronx,36005,E,se,-73.87070982870,40.82504288850
RI,BOX,Bristol,44001,E,,-71.28419887990,41.71606402360
MA,BOX,Dukes,25007,E,se,-70.65605636510,41.39657814950
NY,BUF,Niagara,36063,E,ww,-78.74268177320,43.20106495610
NY,BUF,Wayne,36117,E,ww,-77.02916217720,43.15664267570
NY,BUF,Oswego,36075,E,cc,-76.14115898630,43.42612740800
NY,BUF,Orleans,36073,E,ww,-78.23121567900,43.25219330080
NY,BUF,Monroe,36055,E,ww,-77.69585402590,43.14637362830
ME,GYX,Knox,23013,E,sc,-69.17301945080,44.14998364480
ME,GYX,Sagadahoc,23023,E,sc,-69.86125941510,43.97046629020
ME,GYX,Lincoln,23015,E,sc,-69.54306000240,44.07520337960
NH,GYX,Merrimack,33013,E,cc,-71.68019233100,43.29772241640
NJ,OKX,Union,34039,E,ne,-74.15975204650,40.65720681580
PA,PBZ,Fayette,42051,E,sw,-79.64739260890,39.91984182170
PA,PBZ,Westmoreland,42129,E,sw,-79.46684358500,40.31072630440
MA,BOX,Middlesex,25017,E,ne,-71.39179591410,42.48547378220
CT,OKX,New Haven,09009,E,ss,-72.93236269540,41.41077746280
CT,ALY,Litchfield,09005,E,nn,-73.24529148220,41.79251334760
MA,BOX,Worcester,25027,E,cc,-71.90772619330,42.35140012430
MA,ALY,Berkshire,25003,E,ww,-73.20644373150,42.37065084590
MA,BOX,Franklin,25011,E,ww,-72.59190122580,42.58313307330
MA,BOX,Hampshire,25015,E,ww,-72.66376610080,42.34007966070
MA,BOX,Norfolk,25021,E,ee,-71.22475939240,42.15503498830
ME,CAR,Piscataquis,23021,E,nc,-69.28354858310,45.83799984460
ME,GYXCAR,Somerset,23025,E,wc,-69.95824021140,45.51378780040
ME,CAR,Aroostook,23003,E,nn,-68.59881533420,46.65878970370
ME,GYX,Oxford,23017,E,ww,-70.75551911300,44.49900891060
ME,CAR,Penobscot,23019,E,ec,-68.64940845250,45.40055389180
NH,GYX,Carroll,33003,E,nn,-71.20275468640,43.87391444060
NH,GYX,Hillsborough,33011,E,ss,-71.71597314890,42.91531529160
NJ,OKXPHI,Passaic,34031,E,ne,-74.30026469200,41.03374072630
NY,OKX,Westchester,36119,E,se,-73.75526936490,41.16428072000
NY,ALY,Washington,36115,E,ec,-73.43073905830,43.31369540850
NY,ALY,Warren,36113,E,ec,-73.84600343420,43.56096258520
NY,ALY,Fulton,36035,E,ee,-74.42219275670,43.11388256240
NY,BTV,Essex,36031,E,nn,-73.77269473540,44.11719623580
NY,BTV,Clinton,36019,E,nn,-73.67814515260,44.74617415430
NY,BTV,Franklin,36033,E,nn,-74.30375307200,44.59292549570
NY,BUFBGM,Cayuga,36011,E,cc,-76.55426055810,42.91688711060
NY,BGM,Oneida,36065,E,cc,-75.43586039200,43.24179829040
NY,ALY,Herkimer,36043,E,ee,-74.96255620300,43.41962423750
NY,ALY,Schenectady,36093,E,ec,-74.05854558790,42.81820110890
NY,ALY,Albany,36001,E,ec,-73.97354984550,42.60022068210
NY,ALY,Greene,36039,E,ec,-74.12266711450,42.27655775430
NY,ALY,Ulster,36111,E,ec,-74.25855653700,41.88814257710
NY,ALY,Dutchess,36027,E,ec,-73.74283544880,41.76515744190
NY,ALY,Columbia,36021,E,ec,-73.63182703720,42.25008690550
NY,ALY,Rensselaer,36083,E,ec,-73.50969039330,42.71106401690
NY,ALY,Saratoga,36091,E,ec,-73.86387630140,43.10741026000
NY,BTV,St. Lawrence,36089,E,nn,-75.06250762270,44.49212311650
PA,CTP,Centre,42027,E,cc,-77.81962501040,40.91903344880
PA,CTP,Lycoming,42081,E,nc,-77.06447257670,41.34329566910
PA,BGM,Wayne,42127,E,ne,-75.30327300330,41.64874361900
