,stateProvince,county,decimalLongitude,decimalLatitude,scientificName
0,North Carolina,Brunswick,-78.24411267,34.07473261, Magnolia grandiflora
1,North Carolina,Brunswick,-78.24411267,34.07473261, Magnolia grandiflora
2,North Carolina,Brunswick,-78.24411267,34.07473261, Magnolia grandiflora
3,North Carolina,Brunswick,-78.24411267,34.07473261, Magnolia grandiflora
4,North Carolina,Brunswick,-78.24411267,34.07473261, Magnolia grandiflora
5,North Carolina,Beaufort,-76.86307654,35.49474455, Magnolia grandiflora
6,North Carolina,Beaufort,-76.86307654,35.49474455, Magnolia umbrella
7,North Carolina,Alamance,-79.39946026,36.04402745, Magnolia grandiflora
8,North Carolina,Alamance,-79.39946026,36.04402745, Magnolia umbrella
9,North Carolina,Alamance,-79.39946026,36.04402745, Magnolia umbrella
10,North Carolina,Cumberland,-78.82732594,35.04854049, Magnolia grandiflora
11,North Carolina,Cumberland,-78.82732594,35.04854049, Magnolia grandiflora
12,North Carolina,Cumberland,-78.82732594,35.04854049, Magnolia umbrella
13,North Carolina,Cumberland,-78.82732594,35.04854049, Magnolia umbrella
14,North Carolina,Currituck,-75.91844549999999,36.2197187, Magnolia grandiflora
15,North Carolina,Currituck,-75.91844549999999,36.2197187, Magnolia umbrella
16,North Carolina,Chatham,-79.25530392,35.70275475, Magnolia grandiflora
17,North Carolina,Chatham,-79.25530392,35.70275475, Magnolia umbrella
18,North Carolina,Chatham,-79.25530392,35.70275475, Magnolia umbrella
19,North Carolina,Davidson,-80.21274137,35.79316478, Magnolia grandiflora
20,North Carolina,Davidson,-80.21274137,35.79316478, Magnolia umbrella
21,North Carolina,Davidson,-80.21274137,35.79316478, Magnolia umbrella
22,North Carolina,Davidson,-80.21274137,35.79316478, Magnolia umbrella
23,North Carolina,Durham,-78.87642245,36.0359323, Magnolia grandiflora
24,North Carolina,Durham,-78.87642245,36.0359323, Magnolia umbrella
25,North Carolina,Durham,-78.87642245,36.0359323, Magnolia umbrella
26,North Carolina,Nash,-77.98645268,35.96723777, Magnolia grandiflora
27,North Carolina,Moore,-79.48133651,35.31069142, Magnolia grandiflora
28,North Carolina,Harnett,-78.86928141,35.36869989, Magnolia grandiflora
29,North Carolina,Harnett,-78.86928141,35.36869989, Magnolia umbrella
30,North Carolina,Jones,-77.35553972,35.02215079, Magnolia grandiflora
31,North Carolina,Jones,-77.35553972,35.02215079, Magnolia umbrella
32,North Carolina,Jones,-77.35553972,35.02215079, Magnolia umbrella
