coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
672200,http://swbiodiversity.org/imglib/arizona/ASU_Plants/201604/ASU0097480_1459815605_lg.jpg,http://swbiodiversity.org/imglib/arizona/ASU_Plants/201604/ASU0097480_1459815605_lg.jpg,http://swbiodiversity.org/imglib/arizona/ASU_Plants/201604/ASU0097480_1459815605_tn.jpg,http://swbiodiversity.org/imglib/arizona/ASU_Plants/201604/ASU0097480_1459815605.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3fbfe614-69d6-4a9c-b2cb-9848d8ebb487,"2016-04-04 20:20:06",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=672200,StillImage,Photograph,en
1124053,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0020/ASU0020321_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0020/ASU0020321_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0020/ASU0020321_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0020/ASU0020321.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1a5f12fb-e2c5-4b8b-9fac-71c27b5b5315,"2013-01-07 18:43:26",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1124053,StillImage,Photograph,en
3025523,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:326d7c7e-a37f-4465-9d06-267a150544fb,"2012-02-01 23:23:07",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025523,StillImage,Photograph,en
3025523,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903a_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903a_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903a_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0050/ASU0050903a.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:57f863d9-f1c5-43b9-82c7-06db7c462205,"2012-10-08 19:45:13",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025523,StillImage,Photograph,en
3197530,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/Physalis_hederifolia9799m_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/Physalis_hederifolia9799m_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/Physalis_hederifolia9799m_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/Physalis_hederifolia9799m.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","ASU herbarium",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d0ae399a-2652-44b8-8292-7f3879138492,"2013-05-24 19:18:41",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3197530,StillImage,Photograph,en
3197530,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/DSC09797_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/DSC09797_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/DSC09797_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/201305/DSC09797.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","ASU herbarium",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:79207650-4f66-46a0-8e5a-651f21315023,"2013-05-24 19:19:46",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3197530,StillImage,Photograph,en
3276404,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0056/ASU0056567_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0056/ASU0056567_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0056/ASU0056567_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0056/ASU0056567.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:20ee182e-ca87-43df-86c2-bd46872ee787,"2013-01-07 18:43:58",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3276404,StillImage,Photograph,en
3276690,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068979_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068979_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068979_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068979.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c448b19f-d0a8-4085-b1d5-512f693388da,"2013-01-07 18:49:22",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3276690,StillImage,Photograph,en
3276691,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068980_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068980_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068980_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068980.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:62d16337-56d9-4768-9afc-475cb4e3dd46,"2013-01-07 18:49:23",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3276691,StillImage,Photograph,en
3276692,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068981_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068981_lg.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068981_tn.jpg,http://hasbrouck.asu.edu/imglib/seinet/ASU/ASU0068/ASU0068981.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:67566579-1ab0-414f-a4e2-a9865efbd207,"2013-01-07 18:49:25",image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3276692,StillImage,Photograph,en
