id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
4693999,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,29f58dc4-5fe4-41d3-b706-eb3fbfcee85b,,53544,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Soblo, Dale",,,,,,,"Soblo, Dale",,,1987,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Dorchester County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:29f58dc4-5fe4-41d3-b706-eb3fbfcee85b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693999
4694000,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,ceebee3f-dc4b-4068-898a-54153efd8899,,40440,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Logue, John",,,,,,,"Logue, John",,,1982,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Lee County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ceebee3f-dc4b-4068-898a-54153efd8899,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694000
4694001,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,c5d75cba-4bce-4f02-bbd4-e39954bf4d1d,,25255,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Aulbach-Smith, Cynthia",,,,,,,"Aulbach-Smith, Cynthia",,,1982,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Jasper County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c5d75cba-4bce-4f02-bbd4-e39954bf4d1d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694001
4694002,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,867bdb8a-275b-4c10-b7a5-3d2c25f5b84f,,58399,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nelson, John",,,,,,,"Nelson, John; Long, Brent; Kennemore, Jr., Douglas",,,1992,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Richland County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:867bdb8a-275b-4c10-b7a5-3d2c25f5b84f,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694002
4694003,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,491f8ce8-3c3b-411d-a963-89a58ed52c78,,51217,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nelson, John",,,,,,,"Nelson, John",,,1990,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Georgetown County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:491f8ce8-3c3b-411d-a963-89a58ed52c78,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694003
4694004,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,92cc35bc-a151-4ab0-8e96-228b40887c1e,,30362,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Rayner, Douglas",,,1984,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Colleton County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:92cc35bc-a151-4ab0-8e96-228b40887c1e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694004
4694005,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,98fea86d-78df-4ba4-8ae7-d715ace48266,,30453,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Batson, Jr., Wade",,,,,,,"Batson, Jr., Wade",,,1955,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Beaufort County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:98fea86d-78df-4ba4-8ae7-d715ace48266,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694005
4694006,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,f69f31e5-a3dc-4dbc-ab50-1b10776b1e11,,18330,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Fairey, III, John",,,,,,,"Fairey, III, John; Dukes, T.; Fairey, Daniel",,,1961,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Orangeburg County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f69f31e5-a3dc-4dbc-ab50-1b10776b1e11,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694006
4694007,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,6c72d417-3ef2-4481-8d23-8a579ceaa371,,58376,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Nelson, John",,,1992,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Richland County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6c72d417-3ef2-4481-8d23-8a579ceaa371,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694007
4694008,USCH,MAIN,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,174380f9-a6a6-48fe-9e83-dffb8602fb65,,96248,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Pittman, Albert",,,,,,,"Pittman, Albert; Darr, Ann; Boyle, Kathy",,,2006,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,flowering,,,,,,"United States","South Carolina","Marion County",,,,,,,,,,,,,,,,,,,,,,,"2016-05-25 13:38:55",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:174380f9-a6a6-48fe-9e83-dffb8602fb65,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694008
4694009,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,4f159866-9d9c-404e-9a93-d956622ceec3,81088,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Richard D. Porcher, Jr.",,,2006,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",,,,,,mature,,,,"United States","South Carolina",Berkeley,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:4f159866-9d9c-404e-9a93-d956622ceec3,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694009
4694010,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,e9a363be-1707-49f2-94ff-3d0ba4f2ab5b,73347,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"David T. Nestor",,,2001,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,fruiting,,,,"United States","South Carolina",Greenville,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e9a363be-1707-49f2-94ff-3d0ba4f2ab5b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694010
4694011,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,03ededda-78f1-46d2-83b9-fd8ed106a35e,61134,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Mary Read",,,1973,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,"flowering and fruiting",,,,"United States","South Carolina",Pickens,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:03ededda-78f1-46d2-83b9-fd8ed106a35e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694011
4694012,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,dac10aae-58c6-4565-a5a7-06669682bae3,61133,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"C.L. L Rodgers",,,1973,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,"flowering and fruiting",,,,"United States","South Carolina",Oconee,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:dac10aae-58c6-4565-a5a7-06669682bae3,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694012
4694013,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,820032c4-a484-472a-86a4-61737d587da4,61125,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"R.D. Porcher",,,,,,,"R.D. Porcher",,,1981,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,"flowering and fruiting",,,,"United States","South Carolina",Berkeley,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:820032c4-a484-472a-86a4-61737d587da4,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694013
4694014,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,f13e4043-0873-49e5-ad07-ad98f4b87e4c,61130,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Richard.D D. Porcher, Jr.",,,,,,,"Richard.D D. Porcher, Jr.",,,1973,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,"flowering and fruiting",,,,"United States","South Carolina",Berkeley,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f13e4043-0873-49e5-ad07-ad98f4b87e4c,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694014
4694015,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,3dcffa32-516b-43d8-bdf0-4b23ae0075f3,53297,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"John F. Townsend",,,,,,,"John F. Townsend",,,1996,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,mature,,,,"United States","South Carolina",Williamsburg,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3dcffa32-516b-43d8-bdf0-4b23ae0075f3,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694015
4694016,CLEMS,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,c22b9e70-c8e0-4ede-bf5e-5b973f90129c,61128,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Richard.D D. Porcher, Jr.",,,,,,,"Richard.D D. Porcher, Jr.",,,1971,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,"flowering and fruiting",,,,"United States","South Carolina",Hampton,,,,,,,,,,,,,,,,,,,,,,,"2013-05-17 15:59:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c22b9e70-c8e0-4ede-bf5e-5b973f90129c,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694016
