id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
4694051,BOON,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,49868fbd-36d6-4ffc-bc02-0e3a37cb5891,008100,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,"field values redacted: locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Brunswick,,,,,,,,,,,,,,,,,,,,,en,JMckenna,"2015-10-19 20:16:53",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:49868fbd-36d6-4ffc-bc02-0e3a37cb5891,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694051
4694052,BOON,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,445e551a-71bd-4162-9cb8-79dd024a6531,008101,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,,,,,,,,,,,,,"field values redacted: locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",McDowell,,,,,,,,,,,,,,,,,,,,,en,JMckenna,"2015-10-19 20:16:53",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:445e551a-71bd-4162-9cb8-79dd024a6531,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694052
4694053,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,844adf3d-88bd-49fa-974b-943a59daa92b,NCU00040719,10436,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Stewart, Laurie",,,1900,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States",Alabama,Jackson,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:844adf3d-88bd-49fa-974b-943a59daa92b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694053
4694054,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,5193f116-1bd9-4d7e-9dc2-2397f9730282,NCU00038927,21744,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Ashe, W. [William]",,,1899,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Onslow,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:5193f116-1bd9-4d7e-9dc2-2397f9730282,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694054
4694055,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,4365d98b-85e1-4feb-8cf9-1e90cbffec44,NCU00038930,24595,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Osborne, [Mrs.]",,,1939,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Transylvania,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:4365d98b-85e1-4feb-8cf9-1e90cbffec44,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694055
4694056,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,c5286423-59c5-4d64-b411-ffe623be50d1,NCU00038914,29021,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Ryland, Unknown",,,1946,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Harnett,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c5286423-59c5-4d64-b411-ffe623be50d1,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694056
4694057,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,35925c06-d658-44e5-9635-683f01088b62,NCU00040730,31095,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Radford, A. [Albert]",,,1946,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States",Georgia,Rabun,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:35925c06-d658-44e5-9635-683f01088b62,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694057
4694058,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,a1f0915c-9836-4e9a-a210-a443e4f185e9,NCU00040709,31645,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Smith, Budd",,,1939,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Darlington,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a1f0915c-9836-4e9a-a210-a443e4f185e9,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694058
4694059,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,e85e85e0-d05e-4b4b-91bf-531577f0a023,NCU00038976,35474,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Godfrey, R. [Robert]",,,1949,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Brunswick,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e85e85e0-d05e-4b4b-91bf-531577f0a023,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694059
4694060,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,4a78fc17-ce80-4f28-a072-8834e134c83e,NCU00038979,46596,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Radford, A. [Albert]",,,1949,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Columbus,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:4a78fc17-ce80-4f28-a072-8834e134c83e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694060
4694061,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,0d4c0052-1a58-46be-9608-f208333035be,NCU00038925,49955,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Memminger, Edward",,,1885,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Henderson,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0d4c0052-1a58-46be-9608-f208333035be,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694061
4694062,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,e3a0acb8-fd7d-465d-8d85-3e2a4da39d97,NCU00040711,77509,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Porcher, R. [Richard]",,,1974,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Horry,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e3a0acb8-fd7d-465d-8d85-3e2a4da39d97,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694062
4694063,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,8a7f10c2-6ab9-4e9f-84c0-aa947626a18b,NCU00038983,82271,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Deans, E. [Ernest]",,,1932,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Johnston,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8a7f10c2-6ab9-4e9f-84c0-aa947626a18b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694063
4694064,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,2a5c3fd0-cfa3-4b08-8091-8686273504a4,NCU00038980,82272,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Edwards, [Mrs.]",,,1936,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Craven,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2a5c3fd0-cfa3-4b08-8091-8686273504a4,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694064
4694065,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,b7fb6c55-ad51-4b3d-a1ed-7a84ae0af4cc,NCU00038981,82273,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Mathews, A. ""Andy"" [Andrew]",,,1932,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Duplin,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b7fb6c55-ad51-4b3d-a1ed-7a84ae0af4cc,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694065
4694066,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,f6d71b23-db40-406d-9925-c49e67fa3ec9,NCU00040708,82274,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Coker, William",,,1910,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Darlington,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f6d71b23-db40-406d-9925-c49e67fa3ec9,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694066
4694067,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,ba4b2a59-2eff-4c0a-99fd-8c31f819ef92,NCU00040721,82275,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Lighthipe, L.",,,1897,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States",Florida,Duval,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ba4b2a59-2eff-4c0a-99fd-8c31f819ef92,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694067
4694068,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,d84914f1-e947-44da-8032-658f01eef784,NCU00040707,82276,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Coker, William",,,1909,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Darlington,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d84914f1-e947-44da-8032-658f01eef784,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694068
4694069,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,bc038917-59d9-49eb-bc84-09f2519d073e,NCU00040717,82277,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Norton, J.",,,1920,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Darlington,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:bc038917-59d9-49eb-bc84-09f2519d073e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694069
4694070,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,fbba2e37-21d2-4aa3-a715-a671ca6b3262,NCU00040716,82278,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Norton, J.",,,1921,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Darlington,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fbba2e37-21d2-4aa3-a715-a671ca6b3262,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694070
4694071,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,f2e67bfc-ed1e-46b2-afa0-0008c67c0dbb,NCU00040713,130231,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Haesloop, John",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Berkeley,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f2e67bfc-ed1e-46b2-afa0-0008c67c0dbb,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694071
4694072,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,ea381ba0-b93e-4cba-a868-dc16be205cdf,NCU00038918,130232,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Bell, Clyde",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Burke,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ea381ba0-b93e-4cba-a868-dc16be205cdf,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694072
4694073,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,36975dfb-bf17-4aa3-8974-b7f0cf164493,NCU00038977,130233,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Bell, Clyde",,,1958,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Brunswick,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:36975dfb-bf17-4aa3-8974-b7f0cf164493,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694073
4694074,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,0aa49800-a1b5-49df-b3fe-9e3c0f2c451c,NCU00038978,130234,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Bell, Clyde",,,1958,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Columbus,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0aa49800-a1b5-49df-b3fe-9e3c0f2c451c,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694074
4694075,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,6f5a9bbf-9b82-4108-b768-f8e18a58afb1,NCU00040714,130235,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Ahles, Harry",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Dorchester,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6f5a9bbf-9b82-4108-b768-f8e18a58afb1,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694075
4694076,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,52eb1f86-1a1a-4318-a80e-9b5943a21a6b,NCU00040715,130236,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Ahles, Harry",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Florence,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:52eb1f86-1a1a-4318-a80e-9b5943a21a6b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694076
4694077,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,60abb653-dea0-43da-bd0b-e269538e42ca,NCU00038926,130237,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Pittillo, J.",,,1956,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","North Carolina",Henderson,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:60abb653-dea0-43da-bd0b-e269538e42ca,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694077
4694078,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,c88426d0-6ed4-46d9-99fb-52ac3ac112a2,NCU00038982,130238,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Laing Chambers, Henrietta ""Henny""",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceSources",,,,,,,,,,"United States","North Carolina",Harnett,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c88426d0-6ed4-46d9-99fb-52ac3ac112a2,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694078
4694079,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,fb62d5a0-ae39-4603-8dbb-7a7fc3c243ac,NCU00040710,130239,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,"Nomenclatural Adjustment","August 9, 2016",http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",,,,"Bell, Clyde",,,1956,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Hampton,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fb62d5a0-ae39-4603-8dbb-7a7fc3c243ac,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694079
4694080,NCU,CUCH1,,5bdbf757-6f68-4987-8a0e-16c263a79e67,PreservedSpecimen,28c8237c-c84e-4d70-9f96-6cd0228fafb0,NCU00040718,130240,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,"Cleistes divaricata",109144,"(L.) Ames",Cleistes,divaricata,,,,,,,,,,"Bell, Clyde",,,1957,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources",,,,,,,,,,"United States","South Carolina",Marion,,,,,,,,,,,,,,,,,,,,,,,"2016-07-08 14:07:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:28c8237c-c84e-4d70-9f96-6cd0228fafb0,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694080
