,id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references,decimalLongitude,decimalLatitude
384,7976928,NCU,,,PreservedSpecimen,09f9f51b-e5af-44e3-ad6b-41b483067ea6,NCU00164398,343080,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Grayson,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:09f9f51b-e5af-44e3-ad6b-41b483067ea6,http://sernecportal.org/portal/collections/individual/index.php?occid=7976928,-81.22495209,36.65660184
385,7976930,NCU,,,PreservedSpecimen,91177474-8196-4786-8cf9-03fc421e97a2,NCU00164399,343430,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Lee,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:91177474-8196-4786-8cf9-03fc421e97a2,http://sernecportal.org/portal/collections/individual/index.php?occid=7976930,-83.12848821,36.70546079
386,7978048,NCU,,,PreservedSpecimen,d9cc7654-e005-4381-be23-d40cb74e5674,NCU00038495,343427,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia macrophylla,90971,Michx.,Magnolia,macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Lee,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,12/3/15 9:05,,206,urn:uuid:d9cc7654-e005-4381-be23-d40cb74e5674,http://sernecportal.org/portal/collections/individual/index.php?occid=7978048,-83.12848821,36.70546079
387,7978254,NCU,,,PreservedSpecimen,d855bba9-41d9-49cc-976a-ac9600ca0be6,NCU00164597,343018,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Meyer, Frederick G.",1990,,,,,,"James, Fred C.",,9952a,5/17/68,1968,5,17,138,,,CAN'T LOCATE,,,,,,,,,,,,,,,,United States,Virginia,Lee,,"3.9 miles northeast of junction Co. 770 & Co. 606 on Co. 606, Lee County",,0,,WGS84,8729,,"McCormick, Carol Ann",,GeoLocate,,"= midpoint of County 606, Keokee Road; County 770 not found",,,,,,,,en,wpmarinello,12/14/15 17:23,,206,urn:uuid:d855bba9-41d9-49cc-976a-ac9600ca0be6,http://sernecportal.org/portal/collections/individual/index.php?occid=7978254,-83.12848821,36.70546079
388,7976931,NCU,,,PreservedSpecimen,2bca0567-d59f-4b83-a5db-f0b6ac548ced,NCU00164400,75253,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Patrick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:2bca0567-d59f-4b83-a5db-f0b6ac548ced,http://sernecportal.org/portal/collections/individual/index.php?occid=7976931,-80.28433982,36.67835575
389,7976932,NCU,,,PreservedSpecimen,3020081b-3348-4cc6-a15b-2484e0fc1867,NCU00164401,343429,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Patrick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:3020081b-3348-4cc6-a15b-2484e0fc1867,http://sernecportal.org/portal/collections/individual/index.php?occid=7976932,-80.28433982,36.67835575
390,7976933,NCU,,,PreservedSpecimen,bcc6152f-bde5-4698-84dd-6bed82180443,NCU00164402,343433,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Patrick,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:bcc6152f-bde5-4698-84dd-6bed82180443,http://sernecportal.org/portal/collections/individual/index.php?occid=7976933,-80.28433982,36.67835575
391,7978264,NCU,,,PreservedSpecimen,df240a2a-b2b6-422a-90bb-886cb70ab2eb,NCU00164599,343033,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Meyer, Frederick G.",1990,,,,,,"James, Fred C.",,10296,5/30/68,1968,5,30,151,,,,,,,,,,,,,,,,,,,United States,Virginia,Patrick,,"At junction State 57 & Co. 822, Patrick County",,0,,WGS84,463,,,,GeoLocate,,,,,,,,,,en,wpmarinello,12/3/15 15:04,,206,urn:uuid:df240a2a-b2b6-422a-90bb-886cb70ab2eb,http://sernecportal.org/portal/collections/individual/index.php?occid=7978264,-80.28433982,36.67835575
392,7976936,NCU,,,PreservedSpecimen,ee5981d5-c441-47ea-9e0a-317d70cacd51,NCU00164403,319307,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Scott,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:ee5981d5-c441-47ea-9e0a-317d70cacd51,http://sernecportal.org/portal/collections/individual/index.php?occid=7976936,-82.60297594,36.71421501
393,7978344,NCU,,,PreservedSpecimen,b9e480c5-f837-46dc-aa92-6577027f6fe7,NCU00164603,343019,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia tripetala,90977,(L.) L.,Magnolia,tripetala,,,"Meyer, Frederick G.",1990,,,,,,"James, Fred C.",,9662,5/17/68,1968,5,17,138,,,,,,,,,,,,,,,,,,,United States,Virginia,Scott,,"2.5 miles east of junction US 58 & Co. 701 on US 58, Scott County",,0,,WGS84,634,,,,GeoLocate,,,,,,,,,,en,wpmarinello,12/3/15 15:28,,206,urn:uuid:b9e480c5-f837-46dc-aa92-6577027f6fe7,http://sernecportal.org/portal/collections/individual/index.php?occid=7978344,-82.60297594,36.71421501
