coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
7976944,https://bisque.cyverse.org/image_service/image/00-rdPHwYLTyVWHzKtHND9aYN?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-rdPHwYLTyVWHzKtHND9aYN?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-rdPHwYLTyVWHzKtHND9aYN?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-rdPHwYLTyVWHzKtHND9aYN?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c21e8839-266d-4688-a66f-d8b7f8befbe7,"2015-12-29 12:32:55",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7976944,StillImage,Photograph,en
7976949,https://bisque.cyverse.org/image_service/image/00-afYbuFvo6Z7bLUrZ2AsE78?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-afYbuFvo6Z7bLUrZ2AsE78?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-afYbuFvo6Z7bLUrZ2AsE78?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-afYbuFvo6Z7bLUrZ2AsE78?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c663523f-de68-4389-a4eb-8ed4eda43c3d,"2015-12-29 12:32:55",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7976949,StillImage,Photograph,en
7976950,https://bisque.cyverse.org/image_service/image/00-BJnggqRy2od2gSnCZwHub4?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-BJnggqRy2od2gSnCZwHub4?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-BJnggqRy2od2gSnCZwHub4?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-BJnggqRy2od2gSnCZwHub4?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a90b0eaf-1c18-4795-bc33-449a2754b53e,"2015-12-29 12:32:55",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7976950,StillImage,Photograph,en
7978787,https://bisque.cyverse.org/image_service/image/00-sEoF7S2yhJoFy8rgVsEjvb?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-sEoF7S2yhJoFy8rgVsEjvb?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-sEoF7S2yhJoFy8rgVsEjvb?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-sEoF7S2yhJoFy8rgVsEjvb?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5cfef4c3-2579-48b0-bd0b-b5a5115d3afc,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7978787,StillImage,Photograph,en
9451056,https://bisque.cyverse.org/image_service/image/00-FxXxZfdHpRsKktAe2FCNNV?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-FxXxZfdHpRsKktAe2FCNNV?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-FxXxZfdHpRsKktAe2FCNNV?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-FxXxZfdHpRsKktAe2FCNNV?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:47948a4c-3518-4cfb-b34c-bc3718afafb3,"2016-05-27 14:20:24",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=9451056,StillImage,Photograph,en
9451058,https://bisque.cyverse.org/image_service/image/00-HgJqTio8QC9ygA6TXoH4ET?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-HgJqTio8QC9ygA6TXoH4ET?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-HgJqTio8QC9ygA6TXoH4ET?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-HgJqTio8QC9ygA6TXoH4ET?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:376ce3fc-786e-43ae-899a-5d572e3773ed,"2016-05-27 14:20:24",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=9451058,StillImage,Photograph,en
19884526,https://bisque.cyverse.org/image_service/image/00-9ozNMZXSA4kuwe7CGf4iUH/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-9ozNMZXSA4kuwe7CGf4iUH/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-9ozNMZXSA4kuwe7CGf4iUH/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-9ozNMZXSA4kuwe7CGf4iUH/resize:1250/format:jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9e9caa74-44fd-4ac5-b614-5d14ef3d11a9,"2018-06-11 13:25:19",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=19884526,StillImage,Photograph,en
7977092,https://bisque.cyverse.org/image_service/image/00-4aXDRg2G7pLYyXz5MGCKYM?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-4aXDRg2G7pLYyXz5MGCKYM?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-4aXDRg2G7pLYyXz5MGCKYM?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-4aXDRg2G7pLYyXz5MGCKYM?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:71abf072-50d5-4d34-9019-89d4df0970c1,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977092,StillImage,Photograph,en
7977093,https://bisque.cyverse.org/image_service/image/00-sPjsMUjog5yDobSbRHtiNk?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-sPjsMUjog5yDobSbRHtiNk?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-sPjsMUjog5yDobSbRHtiNk?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-sPjsMUjog5yDobSbRHtiNk?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f05c96f1-321c-47ce-a488-d663291b237e,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977093,StillImage,Photograph,en
7977093,https://bisque.cyverse.org/image_service/image/00-4EM7Gq4kPvRMvqvBhpDMHj?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-4EM7Gq4kPvRMvqvBhpDMHj?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-4EM7Gq4kPvRMvqvBhpDMHj?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-4EM7Gq4kPvRMvqvBhpDMHj?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4a5db6b2-9798-4d3d-827d-513fa37bddfa,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977093,StillImage,Photograph,en
7977094,https://bisque.cyverse.org/image_service/image/00-t52Syx8wnDzh9SEpecvTXW?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-t52Syx8wnDzh9SEpecvTXW?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-t52Syx8wnDzh9SEpecvTXW?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-t52Syx8wnDzh9SEpecvTXW?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:26003b03-f85d-4b75-8911-dbbea09a30ca,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977094,StillImage,Photograph,en
