coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
7970381,"Adams, J. E.",,1956,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:c8af6d09-cb99-4dbe-8867-88e75fe781e9,"2015-11-30 15:29:34"
7970381,"Bell, Clyde Ritchie",,1956,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:35cbe460-1839-4b9f-ab13-1b1c8ed55c20,"2015-11-30 15:29:56"
7970381,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:865eb17e-9ffc-420b-ad02-ab26f139f560,"2015-11-30 15:29:56"
7970381,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:f9043411-3036-4d6c-90ec-e49398ea754f,"2015-11-30 15:30:22"
7970383,"Adams, J. E.",,1958,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:05a511ff-7ebc-4830-912c-b55dd0f80428,"2015-11-30 15:42:26"
7970383,"Ahles, Harry E.; Duke, J. A.",,1958,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:6bb6137f-283d-4a64-af5e-3a207b28f7a7,"2015-11-30 15:42:47"
7970383,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:5a0cd93e-4743-45ed-94e1-682048e7ba30,"2015-11-30 15:42:47"
7970383,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:f645720c-95a1-4f3f-b877-c3a91b04ec30,"2015-11-30 15:43:10"
7970384,"Holmes, John Simcox",,1917,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:3937f805-38b6-4b8e-a827-f397eec93427,"2015-11-30 15:48:13"
7970384,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:08ece4c6-71c9-4394-8c1b-03bda50e92c4,"2015-11-30 15:48:13"
7970384,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:79d16f20-2ef0-4b3c-bafc-5947cad5efe3,"2015-11-30 15:48:37"
7970386,"Adams, J. E.",,1957,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:32fcded0-0f0c-4827-9838-a7d1207be39c,"2015-11-30 16:03:39"
7970386,"Ahles, Harry E.; Haesloop, J.",,1957,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:c4ba4721-ee20-463b-835d-9dca443e16b6,"2015-11-30 16:01:09"
7970386,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:173d2649-8e2c-4f13-9a79-f3d51ba945f7,"2015-11-30 16:01:09"
7970387,"Adams, J. E.",,1957,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:06c0ef55-4650-41e9-bfad-a5b004777b96,"2015-11-30 16:02:27"
7970387,"Ahles, Harry E.; Haesloop, J.",,1957,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:cf650c90-354a-4f7e-9804-a2db71fbcb5a,"2015-11-30 16:02:46"
7970387,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:d32b65d9-1df8-42a3-b418-db2159d776c0,"2015-11-30 16:03:10"
