coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
5573191,"J.J. Thornber",,1907-08-11,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:e008a770-3b88-49fc-8d2c-30f3aa820e1a,"2014-12-23 15:15:32"
5573192,"T. R. Van Devender",,1981-08-06,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:7f68b613-c47a-4942-9e0e-c8bcf6d98795,"2014-12-23 15:15:32"
5573193,"L.J. Toolin",,1978-08-13,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:9718eea0-ecb2-43b4-8e52-e3875a74837d,"2014-12-23 15:15:32"
5573194,"L.N. Goodding",,1962-10-29,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:a13c3dc6-1950-4576-aeeb-60fe162cf5c7,"2014-12-23 15:15:32"
5573195,"R.R. Johnson",,1960-06-21,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:ec02c070-11b5-4f48-8619-9be55cd5e785,"2014-12-23 15:15:32"
5573196,"A. Hesselberg",,1966-08-27,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:7fe6698a-5443-4c72-b9c4-265e1a609d7a,"2014-12-23 15:15:32"
5573197,"R.J. Barr",,1965-05-26,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:4e784c19-6f08-439a-b14e-f14e9d5b4812,"2014-12-23 15:15:32"
5573198,"J.J. Thornber",,1903-12-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:83552275-687e-4fd0-9109-1680b7158cb5,"2014-12-23 15:15:32"
5573199,"T. H. Kearney",,1934-09-30,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:685c0a0d-1897-4802-bef3-6dafcac210c8,"2014-12-23 15:15:32"
5573183,"R.J. Barr",,1966-09-02,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:40d42348-ba86-4c92-9eaa-8636c4dafc52,"2014-12-23 15:15:32"
5573182,"S.P. McLaughlin",,1976-08-13,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:35e3ba9a-97f0-45d3-a5bf-2a4bec08bf6b,"2014-12-23 15:15:32"
5573181,"J.J. Thornber",,1905-05-28,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:c5ec25d5-45d3-4f61-9047-ba3928a5c648,"2014-12-23 15:15:32"
855342,"Steven P. McLaughlin",,2005-09-22,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:81a3143c-e221-4982-90c4-cd47b599985e,"2014-07-25 19:26:02"
855343,"David Bertelsen",,2006-09-15,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:672b3536-b4c1-4ea1-b568-74f8aec9396b,"2014-07-25 19:26:02"
922000,"Kathryn Mauz, 30-Sep-06",,s.d.,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:51771755-a45e-48de-b358-d6f1cf10273c,"2014-07-25 19:26:02"
922001,"Steven P. McLaughlin",,2005-09-22,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:d2c3042b-108e-4b6b-b9b2-110780b8e1e9,"2014-07-25 19:26:02"
953347,CEMML,,1992-08-02,,"Physalis hederifolia",0,"A. Gray",,,,,,"Plant Inventory and Determination by Center for Environmental Management of Military Lands (CEMML), Department of Forest Sciences, Colorado State University, Fort Collins.",urn:uuid:ba471957-0b04-45ef-a352-adf74f382921,"2014-07-25 19:26:02"
953819,"Joan Tedford",,2008-05-06,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:ead82f1b-09b1-4274-9ef4-b306fb1a69f3,"2014-07-25 19:26:02"
3826777,"Janet R. Sullivan",,10/95,,"Physalis hederaefolia var. hederaefolia",0,,,,,,"Annotated for the Flora of North America",,urn:uuid:39277491-bd15-41a4-bb94-661239417e8f,"2014-07-25 19:26:02"
3826777,"J.E. Bowers",,1982-09-03,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:0eb39024-1645-4042-a7da-7b86f120aab9,"2014-07-25 19:26:02"
3826779,"Janet R. Sullivan",,10/95,,"Physalis hederaefolia var. hederaefolia",0,,,,,,"Annotated for the Flora of North America",,urn:uuid:62a839d1-4d4f-4d1a-9e62-81245d9b12b7,"2014-07-25 19:26:02"
3826779,"J.E. Bowers",,1982-09-16,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:b561d91a-e44c-4a3b-bc36-00ec46862a4b,"2014-07-25 19:26:02"
3826780,"J.E. Bowers",,1983-08-12,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:b6356101-ca73-4112-b6ce-1f2db0db903a,"2014-07-25 19:26:02"
3826780,"Janet R. Sullivan",,9/95,,"Physalis hederaefolia var. fendleri",0,"(A.Gray) A.Cronquist",,,,,"Annotated for the Flora of North America",,urn:uuid:b0f2fa77-b552-4c71-809e-4612fd79be4d,"2014-07-25 19:26:02"
3826781,"J.E. Bowers",,1982-09-04,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:ae4e1f1a-156f-4cd1-b8b1-691b843a7df1,"2014-07-25 19:26:02"
3826781,"Janet R. Sullivan",,9/95,,"Physalis hederaefolia var. fendleri",0,"(A.Gray) A.Cronquist",,,,,"Annotated for the Flora of North America",,urn:uuid:9ab7903a-3225-48d9-a68c-cd174cbe298d,"2014-07-25 19:26:02"
5573176,"J.W. Toumey",,1892-06-22,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:14ff2058-b19c-4244-889a-32f4ed12d9b8,"2014-12-23 15:15:32"
5573177,"J.W. Toumey",,1892-06-30,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:84573463-738a-4993-bd8c-c7b17d4fffa1,"2014-12-23 15:15:32"
5573178,Butterwick,,1980-05-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:392029f3-4cb3-4e87-bf80-60e8ca092589,"2014-12-23 15:15:32"
5573180,"P.D. Jenkins, February 1996",,s.d.,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:422420d4-8523-4d44-9261-9272eb9041af,"2014-12-23 15:15:32"
5573200,"L.J. Toolin",,1981-08-28,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:c9c4bc5f-126c-4770-958e-c361091cb4a0,"2014-12-23 15:15:32"
5573201,"J.J. Thornber",,2000-12-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:6c5149f7-d911-49e6-ae04-5f5e6f31aeec,"2014-12-23 15:15:32"
5573202,"V.H. Jones",,1939-09-11,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:a0e0af2e-b8b4-43d8-8791-c7469725e1eb,"2014-12-23 15:15:32"
5573220,"R. H. Peebles",,1927-07-17,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:db51e9ac-ad45-4451-be76-5844d3a9f220,"2014-12-23 15:15:32"
5573221,Butterwick,,1980-05-03,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:9fda967d-9e7a-40c9-99f2-16200a0b6a0b,"2014-12-23 15:15:32"
5573222,"V.L. Bohrer",,1967-09-22,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:d5b08af9-ec46-456b-8dd3-f83c8b6139b1,"2014-12-23 15:15:32"
5573223,"S.P. McLaughlin",,1988-09-07,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:4d253149-fa1f-4359-8ff8-b9457beddb1c,"2014-12-23 15:15:32"
