id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4694408,MMNS,CUCH1,,PreservedSpecimen,5e767077-6d07-4fcd-a2ec-a8eb3e3879c6,9983,9983,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,,2016,,,,,,John Hays,,,3247,5/13/03,2003,5,13,133,,5/13/03,,Recently-burned but mostly grown over bog and longleaf pine savanna.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; McGregor Rd. ca. 2.6 m. NNE of jct. with HY57 ca. 100 meters before bridge over Pascagoula River;,,0,,30.58032,-88.671,WGS84,100,"T5S,R7W, S.27, NW4SE4.",heathers (2016-06-03 08:26:43),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,612,urn:uuid:5e767077-6d07-4fcd-a2ec-a8eb3e3879c6,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694408
4694409,MMNS,CUCH1,,PreservedSpecimen,e9e5015d-9f30-424c-95a9-eaa5c005c9f9,9984,9984,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,,2016,,,,,,John Hays,,,3245,5/13/03,2003,5,13,133,,5/13/03,,Small (<0.5 acre) regularly mown bog.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; HY57 across (NE) from VanCleave Elementary School,,0,,30.54765,-88.69031,WGS84,100,"T6S,R7W, S.4, NE4SW4",heathers (2016-06-03 08:26:13),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,612,urn:uuid:e9e5015d-9f30-424c-95a9-eaa5c005c9f9,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694409
4694410,MMNS,CUCH1,,PreservedSpecimen,46f52792-528b-4608-a7fd-fb43f2565130,10651,10651,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,,2016,,,,,,Dan Wyrick,,,95-40,5/8/95,1995,5,8,128,,5/8/95,infrequent in openings among shrubs; moist sandy loam soil.,degraded pitcher plant savannah which has been logged and extensively colonized by Cliftonia monophylla. elev. 210',,,,,,,,flo,,,,,,,,,United States,Mississippi,Perry,,"CSTS TA 34, DeSoto Nat'l Forest. pitcher plant savannah 0.9 mi S of FR 312 on Rd. accessing military firing pts. 311 and 512.",Camp Shelby Training Site,0,,31.15467,-89.00273,WGS84,100,SE/4 NE/4 SW/4 SEC 9 T2N R12W,heathers (2016-06-02 08:25:15),,georef batch tool 2016-06-02,reviewed - high confidence,,,,,,,,,,HMS,6/2/16 11:25,,612,urn:uuid:46f52792-528b-4608-a7fd-fb43f2565130,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694410
4694489,GEO,General Collection,,PreservedSpecimen,a7fc4c16-bde1-46ec-8cbe-d4c6ce60fffa,16244,GEO-GC-016244-0,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,G. W. McDowell,,,,6/18/47,1947,6,18,169,,,Native to Southeastern United States,"Devil's Fork Swamp, 2 1/2 miles east of Hendersonville",,,406,,,,,,,,,,,,,,United States of America,North Carolina,Henderson County,,Henderson County,,1,,35.317805,-82.529345,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,5/16/16 10:04,,612,urn:uuid:a7fc4c16-bde1-46ec-8cbe-d4c6ce60fffa,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694489
4694252,USCH,MAIN,,PreservedSpecimen,bfd70285-a50f-4f55-9624-df7e03fd4a28,18329,18329,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Batson, Jr., Wade",,,,6/2/67,1967,6,2,153,,,,overgrown bottomland,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,3 miles S of Hampton Low,,1,,32.834409,-81.127605,WGS84,7103,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:bfd70285-a50f-4f55-9624-df7e03fd4a28,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694252
4694261,USCH,MAIN,,PreservedSpecimen,8cfef369-b151-417f-964f-c57d6ed30dcf,18330,18330,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Fairey, III, John; Dukes, T.; Fairey, Daniel",,,,6/4/61,1961,6,4,155,,,,"Duukes Farm, 4 miles SW of Rowesville Wet open pine savannah",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Orangeburg County,,Rowesville,,1,,33.354968,-80.868281,WGS84,1013,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:8cfef369-b151-417f-964f-c57d6ed30dcf,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694261
4694414,MMNS,CUCH1,,PreservedSpecimen,4552cdde-7ef4-4235-ac28-3783657aabdc,22326,22326,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,,2016,,,,,,Lucas C. Majure,,"Al Schotz, H. Sullivan, J. Thompson",168,4/30/04,2004,4,30,121,,4/30/04,,"powerline, boggy area of pine savanna",,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,"Grand Bay NERR, N of headquarters along powerline, W of rd.",Grand Bay NERR,0,,30.43055556,-88.42805556,,,*,,,,,,,,,,,,,,,3/27/15 5:17,,612,urn:uuid:4552cdde-7ef4-4235-ac28-3783657aabdc,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694414
4694256,USCH,MAIN,,PreservedSpecimen,ecb5e528-a067-4a6b-9634-b66cbff1b5ce,25255,25255,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Aulbach-Smith, Cynthia",,,2237,5/22/82,1982,5,22,142,,,,"South of S-22, between Ridgeland and Tarboro Pine savannah",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Jasper County,,Ridgeland,,1,,32.458875,-81.006822,WGS84,5475,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:ecb5e528-a067-4a6b-9634-b66cbff1b5ce,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694256
4694415,MMNS,CUCH1,,PreservedSpecimen,3475236b-9184-4608-9f4c-3876af865f5b,29947,29947,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,N.M. Franz,2016,,,,,,Steve W. Leonard,,,9809,4/19/97,1997,4,19,109,,4/19/97,,,,,,,,,,flo,,,,,,,,,United States,Florida,Gulf,,"5.3 mi S of Rt C22 on W side of Wetappo Creek, low ground savanna, slightly brackish",,0,,30.07172,-85.296322,WGS84,8294,,,,GeoLocate,,,,,,,,,,,JAH,7/22/15 16:50,,612,urn:uuid:3475236b-9184-4608-9f4c-3876af865f5b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694415
4694259,USCH,MAIN,,PreservedSpecimen,a6462e38-047e-4038-8fe7-17bb5bb6c15c,30362,30362,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Rayner, Douglas",,,1892,5/8/84,1984,5,8,129,,,,"1.7 miles E along S-28 from its jct with US 21, the 300 yards SE Low shrub flatwoods adjacent to a pond pine pocosin",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Colleton County,,Bull Creek,,1,,32.79597,-80.873022,WGS84,210,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:a6462e38-047e-4038-8fe7-17bb5bb6c15c,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694259
