stateProvince,county,centroidLon,centroidLat
New York,Orange,-74.30563675380,41.40223122470
New York,Otsego,-75.03263301440,42.63383250570
New York,Putnam,-73.74953845220,41.42665982460
New York,Rockland,-74.02408070690,41.15294073070
New York,Schoharie,-74.44210594560,42.58823392850
New York,Schuyler,-76.87522004540,42.39378312180
New York,Seneca,-76.82374474250,42.78102040220
New York,Steuben,-77.38378883350,42.26782480410
New York,Sullivan,-74.76811735940,41.71641097010
New York,Tioga,-76.30630041360,42.17026045200
New York,Tompkins,-76.47366759910,42.45201557950
New York,Wyoming,-78.22448997930,42.70233051900
Pennsylvania,Adams,-77.21790832330,39.87151048200
Pennsylvania,Allegheny,-79.98120778120,40.46884158450
Pennsylvania,Armstrong,-79.46451426620,40.81246244930
Pennsylvania,Beaver,-80.34933240820,40.68227052240
Pennsylvania,Bedford,-78.49016110640,40.00658958460
Pennsylvania,Blair,-78.34860155170,40.48126539280
Pennsylvania,Bradford,-76.51566819270,41.78861729260
Pennsylvania,Butler,-79.91299144620,40.91171555300
Pennsylvania,Cambria,-78.71357155710,40.49540858100
Pennsylvania,Cameron,-78.20382458080,41.43677929950
Pennsylvania,Clarion,-79.42099396710,41.19251707240
Pennsylvania,Clearfield,-78.47410933360,41.00023095530
Pennsylvania,Columbia,-76.40518094660,41.04862586310
Pennsylvania,Crawford,-80.10628735210,41.68475447340
Pennsylvania,Cumberland,-77.26509460600,40.16374376580
Pennsylvania,Dauphin,-76.77924900910,40.41551999780
Pennsylvania,Elk,-78.64920284990,41.42525158190
Pennsylvania,Forest,-79.23606797560,41.51320336120
Pennsylvania,Franklin,-77.72118751050,39.92746868580
Pennsylvania,Fulton,-78.11239683290,39.92545091640
Pennsylvania,Greene,-80.22288476250,39.85381082730
Pennsylvania,Huntingdon,-77.98123610030,40.41701132720
Pennsylvania,Indiana,-79.08754875780,40.65208677190
Pennsylvania,Jefferson,-78.99945182960,41.12812720730
Pennsylvania,Juniata,-77.40201924410,40.53114317450
Pennsylvania,Lackawanna,-75.60916264570,41.43704517850
Pennsylvania,Lancaster,-76.24773070020,40.04237118950
Pennsylvania,Lawrence,-80.33422543560,40.99120274830
Pennsylvania,Lebanon,-76.45768598180,40.36723937750
Pennsylvania,Luzerne,-75.98886556740,41.17715044610
Pennsylvania,McKean,-78.56900675390,41.80776368120
Pennsylvania,Mercer,-80.25771479290,41.30217743440
Pennsylvania,Mifflin,-77.61707072430,40.61038429630
Pennsylvania,Montour,-76.65860388350,41.02798811120
Pennsylvania,Perry,-77.26219956040,40.39844229870
Pennsylvania,Pike,-75.03375005480,41.33207460350
Pennsylvania,Potter,-77.89584747140,41.74496701420
Pennsylvania,Schuylkill,-76.21597437990,40.70586365620
Pennsylvania,Snyder,-77.07013704410,40.76996870340
Pennsylvania,Somerset,-79.02829046630,39.97248646400
Pennsylvania,Sullivan,-76.51191454310,41.44598676190
Pennsylvania,Susquehanna,-75.80084086410,41.82138075310
Pennsylvania,Tioga,-77.25430805580,41.77206980030
Pennsylvania,Union,-77.06207858100,40.96297746900
Pennsylvania,Venango,-79.75797036190,41.40097105510
Pennsylvania,Warren,-79.27413738680,41.81471973680
Pennsylvania,Washington,-80.24823777020,40.18942409750
Pennsylvania,Wyoming,-76.01650814040,41.51841008420
Pennsylvania,York,-76.72650916170,39.91992704780
Rhode Island,Newport,-71.23658595920,41.55599379070
Virginia,Patrick,-80.28433981940,36.67835574780
Virginia,Pittsylvania,-79.39711910050,36.82132162770
Virginia,Pulaski,-80.71430669720,37.06362651450
Virginia,Roanoke,-80.06790871550,37.26934349270
Virginia,Rockbridge,-79.44753841620,37.81463143800
Virginia,Russell,-82.09561279860,36.93377361410
Virginia,Scott,-82.60297594110,36.71421501280
Virginia,Smyth,-81.53695245300,36.84386510720
Virginia,Tazewell,-81.56064121430,37.12496455280
Virginia,Wise,-82.62122514040,36.97525275340
Virginia,Wythe,-81.07859277260,36.91713187480
Virginia,Alleghany,-80.00696453610,37.78763579940
Virginia,Carroll,-80.73389089630,36.73154491350
Virginia,Campbell,-79.09633977820,37.20563315420
Virginia,Henry,-79.87393407540,36.68276727540
Virginia,Montgomery,-80.38693373320,37.17403726460
Virginia,Halifax,-78.93666243520,36.76697519540
Virginia,Grayson,-81.22495208940,36.65660184220
Virginia,Giles,-80.70369037660,37.31406088290
Virginia,Franklin,-79.88104196330,36.99195238040
Virginia,Floyd,-80.36256674400,36.93149667020
Virginia,Dickenson,-82.35033291960,37.12576025320
Virginia,Craig,-80.21234921820,37.48126381420
Virginia,Charlotte,-78.66162467960,37.01159263420
Virginia,Buckingham,-78.52868939380,37.57219999370
Virginia,Buchanan,-82.03600649780,37.26663767950
Virginia,Botetourt,-79.81229357950,37.55713519090
Virginia,Bland,-81.13021441440,37.13398777080
Virginia,Bedford,-79.52417805940,37.31516367040
Virginia,Bath,-79.74105258520,38.05870666410
Virginia,Appomattox,-78.81211753010,37.37224082040
Virginia,Amherst,-79.14510562880,37.60482265650
Virginia,Lee,-83.12848820880,36.70546078880
Vermont,Lamoille,-72.64139410920,44.60573443070
Vermont,Orange,-72.37693489190,44.00564365460
Vermont,Bennington,-73.09292671580,43.03547030910
Vermont,Orleans,-72.24382661100,44.82877453970
Vermont,Washington,-72.61492915050,44.27343299860
Vermont,Grand Isle,-73.29483252850,44.79680192290
West Virginia,Raleigh,-81.24859974640,37.77136484820
West Virginia,Putnam,-81.90896516840,38.50863952610
West Virginia,Preston,-79.66813729420,39.46928235040
West Virginia,Pocahontas,-80.00773967780,38.33179875330
West Virginia,Pleasants,-81.16062944400,39.37092477630
West Virginia,Ohio,-80.61892561660,40.09691695760
West Virginia,Nicholas,-80.79927724920,38.29171010680
West Virginia,Monroe,-80.55053794990,37.56040282240
West Virginia,Monongalia,-80.04650807020,39.63028078100
West Virginia,Mingo,-82.13458885250,37.72642369120
West Virginia,Mercer,-81.11143335710,37.40550625500
West Virginia,Mason,-82.02651895130,38.76975726660
West Virginia,Marshall,-80.66339478610,39.86061950490
West Virginia,Marion,-80.24340751020,39.50999774130
West Virginia,McDowell,-81.65357037850,37.37850738910
West Virginia,Logan,-81.93528821820,37.83155648340
